  UnfData  UnfData_BNBstats_error  UnfData_DataStats_error  UnfData_EXTstats_error  UnfData_MCstats_error  UnfData_NuWroGenie_error  UnfData_POT_error  UnfData_bkgd_only_BNBstats_error  UnfData_bkgd_only_DataStats_error  UnfData_bkgd_only_EXTstats_error  UnfData_bkgd_only_MCstats_error  UnfData_bkgd_only_NuWroGenie_error  UnfData_bkgd_only_POT_error  UnfData_bkgd_only_detVarLYatten_error  UnfData_bkgd_only_detVarLYdown_error  UnfData_bkgd_only_detVarLYrayl_error  UnfData_bkgd_only_detVarRecomb2_error  UnfData_bkgd_only_detVarSCE_error  UnfData_bkgd_only_detVarWMAngleXZ_error  UnfData_bkgd_only_detVarWMAngleYZ_error  UnfData_bkgd_only_detVarWMX_error  UnfData_bkgd_only_detVarWMYZ_error  UnfData_bkgd_only_detVarWMdEdx_error  UnfData_bkgd_only_detVar_total_error  UnfData_bkgd_only_flux_error  UnfData_bkgd_only_numTargets_error  UnfData_bkgd_only_reint_error  UnfData_bkgd_only_total_error  UnfData_bkgd_only_xsec_AxFFCCQEshape_error  UnfData_bkgd_only_xsec_DecayAngMEC_error  UnfData_bkgd_only_xsec_NormCCCOH_error  UnfData_bkgd_only_xsec_NormNCCOH_error  UnfData_bkgd_only_xsec_RPA_CCQE_error  UnfData_bkgd_only_xsec_ThetaDelta2NRad_error  UnfData_bkgd_only_xsec_Theta_Delta2Npi_error  UnfData_bkgd_only_xsec_VecFFCCQEshape_error  UnfData_bkgd_only_xsec_XSecShape_CCMEC_error  UnfData_bkgd_only_xsec_multi_error  UnfData_bkgd_only_xsec_total_error  UnfData_bkgd_only_xsec_unisim_error  UnfData_bkgd_only_xsec_xsr_scc_Fa3_SCC_error  UnfData_bkgd_only_xsec_xsr_scc_Fv3_SCC_error  UnfData_detVarLYatten_error  UnfData_detVarLYdown_error  UnfData_detVarLYrayl_error  UnfData_detVarRecomb2_error  UnfData_detVarSCE_error  UnfData_detVarWMAngleXZ_error  UnfData_detVarWMAngleYZ_error  UnfData_detVarWMX_error  UnfData_detVarWMYZ_error  UnfData_detVarWMdEdx_error  UnfData_detVar_total_error  UnfData_error  UnfData_flux_error  UnfData_numTargets_error  UnfData_reint_error  UnfData_sigresp_only_BNBstats_error  UnfData_sigresp_only_DataStats_error  UnfData_sigresp_only_EXTstats_error  UnfData_sigresp_only_MCstats_error  UnfData_sigresp_only_NuWroGenie_error  UnfData_sigresp_only_POT_error  UnfData_sigresp_only_detVarLYatten_error  UnfData_sigresp_only_detVarLYdown_error  UnfData_sigresp_only_detVarLYrayl_error  UnfData_sigresp_only_detVarRecomb2_error  UnfData_sigresp_only_detVarSCE_error  UnfData_sigresp_only_detVarWMAngleXZ_error  UnfData_sigresp_only_detVarWMAngleYZ_error  UnfData_sigresp_only_detVarWMX_error  UnfData_sigresp_only_detVarWMYZ_error  UnfData_sigresp_only_detVarWMdEdx_error  UnfData_sigresp_only_detVar_total_error  UnfData_sigresp_only_flux_error  UnfData_sigresp_only_numTargets_error  UnfData_sigresp_only_reint_error  UnfData_sigresp_only_total_error  UnfData_sigresp_only_xsec_AxFFCCQEshape_error  UnfData_sigresp_only_xsec_DecayAngMEC_error  UnfData_sigresp_only_xsec_NormCCCOH_error  UnfData_sigresp_only_xsec_NormNCCOH_error  UnfData_sigresp_only_xsec_RPA_CCQE_error  UnfData_sigresp_only_xsec_ThetaDelta2NRad_error  UnfData_sigresp_only_xsec_Theta_Delta2Npi_error  UnfData_sigresp_only_xsec_VecFFCCQEshape_error  UnfData_sigresp_only_xsec_XSecShape_CCMEC_error  UnfData_sigresp_only_xsec_multi_error  UnfData_sigresp_only_xsec_total_error  UnfData_sigresp_only_xsec_unisim_error  UnfData_sigresp_only_xsec_xsr_scc_Fa3_SCC_error  UnfData_sigresp_only_xsec_xsr_scc_Fv3_SCC_error  UnfData_total_blockwise_mixed_error  UnfData_total_blockwise_norm_error  UnfData_total_blockwise_shape_error  UnfData_total_error  UnfData_xsec_AxFFCCQEshape_error  UnfData_xsec_DecayAngMEC_error  UnfData_xsec_NormCCCOH_error  UnfData_xsec_NormNCCOH_error  UnfData_xsec_RPA_CCQE_error  UnfData_xsec_ThetaDelta2NRad_error  UnfData_xsec_Theta_Delta2Npi_error  UnfData_xsec_VecFFCCQEshape_error  UnfData_xsec_XSecShape_CCMEC_error  UnfData_xsec_multi_error  UnfData_xsec_total_error  UnfData_xsec_unisim_error  UnfData_xsec_xsr_scc_Fa3_SCC_error  UnfData_xsec_xsr_scc_Fv3_SCC_error  bin  uBTune  x0  x0_halfwidth
  25.7137  0.914543  0.925967  0.145001  0.576901  1.12748  0.576513  0.914543  0.925967  0.145001  0.576901  1.42345  0.576513  0.175199  0.0665168  0.0495706  0.00834643  0.086841  0.215783  0.0581971  0.0530972  0.0625161  0.0687673  0.319162  0.378942  0.288257  0.0728601  2.24569  0.00394688  0.108649  0.0169776  0  0.234968  0  0.192064  0.00857829  0.259237  0.988195  1.78512  0.414107  0.0731673  0.0841821  0.278659  0.11796  0.0856317  0.019767  0.374975  0.489856  0.161548  0.0683156  0.422565  0.270417  0.830168  3.00962  1.78079  0.288257  0.410027  0.914543  0.925967  0.145001  0.576901  2.55093  0.576513  0.10346  0.0514435  0.135202  0.0114206  0.288134  0.274073  0.103351  0.0152184  0.360049  0.20165  0.574844  1.4328  0.288257  0.339993  3.5846  0.0140705  0.166913  0  0  0.687112  0  0.0761164  0.112359  0.836025  1.00814  2.95715  1.10342  0.0025435  0.0600949  0  2.3797  1.84264  3.00962  0.0101236  0.0582636  0.0169776  0  0.921616  0  0.268181  0.103781  0.576789  0.928597  1.85031  1.12629  0.0726071  0.127761  1  20.5182  0.25  0.08
  28.7637  1.29564  1.30851  0.183084  0.812778  1.55754  0.643348  1.29564  1.30851  0.183084  0.812778  1.06826  0.643348  0.099505  0.0866742  0.223297  0.0927496  0.847007  0.271133  0.123015  0.0864505  0.0318129  0.345342  0.943626  0.345414  0.321674  0.163467  2.44459  0.00675794  0.143986  0.0033205  0  0.00300815  0  0.365081  0.0220038  0.00720325  0.865015  1.43156  0.393215  0.0507113  0.0523189  0.310671  0.072086  0.176534  0.10345  0.708096  0.530101  0.242244  0.626367  0.586002  0.642956  1.31164  3.70402  1.89534  0.321674  0.616052  1.29564  1.30851  0.183084  0.812778  2.6258  0.643348  0.211166  0.15876  0.399831  0.0107003  0.138911  0.801235  0.119229  0.539917  0.554189  0.988298  1.22634  1.5972  0.321674  0.455729  3.97589  0.00027376  0.62264  0  0  0.315427  0  0.14647  0.0226376  0.689333  0.878652  2.94192  0.99213  0.00364112  0.0607269  0.25458  2.66197  2.56298  3.70402  0.00648418  0.766627  0.0033205  0  0.318435  0  0.51155  0.000633835  0.68213  1.13317  2.26657  1.19002  0.049974  0.0933045  2  24.8485  0.41  0.0425
  27.3276  1.04589  1.05196  0.1129  0.679966  0.78774  0.599762  1.04589  1.05196  0.1129  0.679966  0.169646  0.599762  0.229005  0.148763  0.0436037  0.127396  0.205218  0.197519  0.125744  0.131536  0.234443  0.227869  0.511771  0.292281  0.299881  0.0848025  1.75949  0.00296848  0.059625  0.00507879  0  0.0798764  0  0.369895  0.0157937  0.134891  0.72706  0.85009  0.406494  0.00338664  0.00314739  0.108059  0.0409082  0.190896  0.466991  0.0752602  0.156236  0.464805  0.00410058  0.669838  0.783524  0.981167  3.00229  1.79888  0.299881  0.199644  1.04589  1.05196  0.1129  0.679966  0.957385  0.599762  0.120946  0.189671  0.2345  0.339594  0.129958  0.0412829  0.339061  0.135637  0.435395  0.555655  0.74996  1.57304  0.299881  0.122862  2.68933  0.00238591  0.129258  0  0  0.0947961  0  0.11949  0.000517401  0.777444  0.774679  1.47034  0.802744  0.00357984  0.027673  0  2.52907  1.80287  3.00229  0.00535438  0.188883  0.00507879  0  0.0197916  0  0.489385  0.0152763  0.912335  1.01343  1.6603  1.05272  0.00394056  0.0278634  3  24.0688  0.495  0.0325
  26.7571  1.1571  1.16196  0.106182  0.822741  0.632103  0.627298  1.1571  1.16196  0.106182  0.822741  0.208328  0.627298  0.0845244  0.0292996  0.0216113  0.469397  0.702876  0.569488  0.110801  0.285997  0.241605  0.381064  1.09526  0.263192  0.313649  0.068524  2.08809  0.00167424  0.233464  0.0129726  0  0.014073  0  0.203962  0.00646456  0.111266  0.644208  0.753395  0.329996  0.0116651  0.0129352  0.0052001  0.011503  0.197523  0.199489  0.99421  0.528225  0.0445862  0.967107  0.472037  0.229076  1.58321  3.35545  1.93007  0.313649  0.122754  1.1571  1.16196  0.106182  0.822741  0.840431  0.627298  0.0793243  0.0177966  0.175912  0.269907  0.291335  0.0412635  0.155387  0.68111  0.230433  0.151988  0.85915  1.73354  0.313649  0.138157  2.93965  0.00683527  0.0918452  0  0  0.263034  0  0.0222231  0.045181  0.899095  0.874475  1.53629  0.942643  0.00405749  0.0237246  0  2.47627  2.42866  3.35545  0.00516103  0.325309  0.0129726  0  0.277106  0  0.226185  0.0387165  0.787829  1.11196  1.57902  0.92528  0.0113617  0.0321863  4  25.875  0.56  0.03
  25.9153  0.853747  0.855743  0.0584166  0.546829  0.234151  0.563536  0.853747  0.855743  0.0584166  0.546829  0.389899  0.563536  0.112579  0.0977918  0.0399048  0.0568004  0.295743  0.130884  0.0763818  0.208465  0.0678585  0.263112  0.430752  0.245917  0.281768  0.0446297  1.48391  0.00279548  0.00422727  0.00734955  0  0.00959615  0  0.223236  0.0114204  0.0117069  0.568601  0.72505  0.224217  0.00435053  0.00873571  0.0758694  0.0374724  0.326391  0.68776  0.202676  0.0454687  0.114827  0.540195  0.213632  0.675537  0.990195  2.64366  1.66661  0.281768  0.395424  0.853747  0.855743  0.0584166  0.546829  0.155747  0.563536  0.188449  0.135264  0.366296  0.63096  0.0930669  0.176352  0.191209  0.331731  0.145774  0.412425  0.890904  1.45421  0.281768  0.433119  2.37184  6.13706e-05  0.073093  0  0  0.186169  0  0.258569  0.0109669  0.60502  0.776996  1.04942  0.687771  0.00399956  0.0160775  0  2.39836  1.43706  2.64366  0.00285685  0.0688657  0.00734955  0  0.176573  0  0.481805  0.000453547  0.593313  0.98523  1.28306  0.787489  0.00467309  0.0241935  5  23.2527  0.62  0.03
  21.456  0.591638  0.592305  0.0281035  0.424556  0.33029  0.497933  0.591638  0.592305  0.0281035  0.424556  0.446667  0.497933  0.0702197  0.0560908  0.0463641  0.202598  0.169302  0.0324782  0.151825  0.0104549  0.20668  0.0337249  0.383233  0.244644  0.248966  0.0473994  1.25809  0.00469711  0.00903281  0.00415661  0  0.0233588  0  0.211929  0.0201785  0.100951  0.526259  0.729955  0.23702  0.00725373  0.0119313  0.0748028  0.0912277  0.377896  0.631356  0.0714735  0.331624  0.419733  0.016459  0.292169  0.0727445  0.965519  2.32299  1.45059  0.248966  0.694312  0.591638  0.592305  0.0281035  0.424556  0.116378  0.497933  0.145023  0.147318  0.331532  0.428758  0.0978285  0.299146  0.267908  0.00600404  0.0854896  0.0390197  0.717397  1.25156  0.248966  0.678313  1.99259  0.00289898  0.270125  0  0  0.193959  0  0.0895255  0.00510773  0.333687  0.586986  0.766984  0.479567  0.00374072  0.0130337  0.632524  1.98567  1.02631  2.32299  0.0075961  0.279158  0.00415661  0  0.170601  0  0.301454  0.0150707  0.232736  0.821398  1.01822  0.502371  0.00699563  0.0238578  6  20.3842  0.68  0.03
  15.3635  0.816244  0.817813  0.0506332  0.528053  0.339472  0.355464  0.816244  0.817813  0.0506332  0.528053  0.156683  0.355464  0.0836068  0.0395996  0.0348838  0.0836998  0.411099  0.0540819  0.164873  0.0515501  0.238885  0.00826913  0.52499  0.176709  0.177732  0.0742776  1.271  0.00410471  0.0369399  0.0049771  0  0.0624664  0  0.110706  0.0178314  0.099768  0.380865  0.444398  0.16684  0.00469857  0.00491618  0.120712  0.133389  0.217366  0.142645  0.0709416  0.0324311  0.447606  0.353175  0.455253  0.261028  0.798988  2.14052  1.00773  0.177732  0.960905  0.816244  0.817813  0.0506332  0.528053  0.182788  0.355464  0.0371049  0.0937896  0.182482  0.0589449  0.482041  0.086513  0.282733  0.301625  0.216368  0.269297  0.7103  0.901972  0.177732  0.902989  1.9405  0.00451074  0.529514  0  0  0.0728777  0  0.0287405  0.0117759  0.116718  0.439033  0.725587  0.548001  0.00315636  0.000150224  0.519141  1.42183  1.51352  2.14052  0.00861545  0.566454  0.0049771  0  0.0131702  0  0.0819653  0.0296073  0.216486  0.638829  0.94816  0.612866  0.00591782  0.00502119  7  14.7365  0.74  0.03
  14.6428  0.820013  0.823717  0.0780231  0.486273  0.804695  0.310869  0.820013  0.823717  0.0780231  0.486273  0.49686  0.310869  0.111394  0.0587525  0.0652199  0.273033  0.598082  0.0772393  0.0526314  0.0447254  0.0238041  0.162811  0.68093  0.179586  0.155434  0.0946913  1.4028  0.00368619  0.0202669  0.00796317  0  0.000311583  0  0.130714  0.0170037  0.188696  0.356014  0.6536  0.231235  0.00153574  0.0102136  0.186316  0.182493  0.439138  1.27449  0.753372  0.16218  0.0812153  0.120694  0.0330277  0.02474  1.58155  2.66056  0.899542  0.155434  1.18129  0.820013  0.823717  0.0780231  0.486273  0.307835  0.310869  0.29771  0.241245  0.373918  1.00146  0.15529  0.0849402  0.0285839  0.16542  0.0568318  0.138071  1.16288  0.753699  0.155434  1.09041  2.13781  0.00319605  0.271315  0  0  0.145528  0  0.167315  0.00133859  0.233825  0.390976  0.651999  0.421273  0.00256185  0.000841442  0.233755  1.35513  2.27762  2.66056  0.00688225  0.291582  0.00796317  0  0.14584  0  0.298029  0.0156651  0.422522  0.561455  1.15624  0.611548  0.00254714  0.0110441  8  12.9136  0.8  0.035
  11.6087  1.12641  1.131  0.101795  0.5708  0.320152  0.227086  1.12641  1.131  0.101795  0.5708  0.15301  0.227086  0.0599286  0.0944609  0.131573  0.0196876  0.245195  0.105135  0.195327  0.124503  0.00524672  0.250354  0.393787  0.127094  0.113543  0.0964621  1.42064  0.00594097  0.0749791  0.0025507  0  0.0971819  0  0.0613353  0.0233946  0.140992  0.324688  0.410193  0.198232  0.00802321  0.00795556  0.0214094  0.187358  0.261358  0.290414  0.627555  0.173545  0.3363  0.243626  0.3483  0.106197  0.951796  2.51891  0.607784  0.113543  1.34951  1.12641  1.131  0.101795  0.5708  0.473162  0.227086  0.0813381  0.0928974  0.39293  0.310102  0.872749  0.0684107  0.140973  0.119124  0.353546  0.144157  1.09144  0.529325  0.113543  1.26237  2.43779  0.00889349  0.00981222  0  0  0.0457466  0  0.130794  0.0422591  0.847154  0.49566  1.09927  0.859552  0.00261208  0.000808487  0  1.07434  2.27888  2.51891  0.0148345  0.0847913  0.0025507  0  0.14126  0  0.192129  0.0656537  0.988146  0.656756  1.25658  1.02227  0.00877237  0.00815165  9  10.176  0.87  0.03
  2.4158  0.22212  0.222443  0.0119928  0.141242  0.0509452  0.0536606  0.22212  0.222443  0.0119928  0.141242  0.0911275  0.0536606  0.0340156  0.0131407  0.0107392  0.0832056  0.00568914  0.0332048  0.129919  0.00674822  0.0463351  0.0615188  0.16904  0.0416966  0.0268303  0.0383047  0.353333  0.00151409  0.00358553  0.000794488  0  0.0135591  0  0.0231394  0.00704714  0.0545186  0.0892512  0.14154  0.0612944  0.00123436  0.00227352  0.0315835  0.0111627  0.0701398  0.122351  0.13648  0.0258539  0.22554  0.0466717  0.0270556  0.196624  0.306734  0.621545  0.149558  0.0268303  0.343241  0.22212  0.222443  0.0119928  0.141242  0.0401823  0.0536606  0.00243214  0.00197792  0.0594006  0.0391456  0.142169  0.0590587  0.0956214  0.0399235  0.0192794  0.135105  0.199699  0.121876  0.0268303  0.306566  0.518177  0.00168423  0.0752581  0  0  0.0148881  0  0.0111617  0.00356893  0.179599  0.0828591  0.216245  0.195656  0.000493037  5.12469e-05  0.150895  0.223573  0.559968  0.621545  0.00319831  0.0788436  0.000794488  0  0.00143056  0  0.0119778  0.0106161  0.234117  0.122974  0.281107  0.247581  0.00135435  0.00223297  10  2.24034  0.93  0.135
